form	resolved_lemma	confidence	note
ringe	lemma_4917	high	NOM rinc (ring, plural); all contexts are "vir guldeine ringe", "Czwen ringe sullen sein" — golden rings for the ark/tabernacle; lemma_4918=ringe (ADJ thin) and lemma_4920=ringen (VRB to wrestle) are different
iungen	lemma_3157	high	ADJ junc (young, oblique forms); all contexts are "in iren iungen tagen", "von dem iungen bis an" — adjectival; lemma_3162=jungen (NOM the young ones) is derived but context shows ADJ use
gedienet	lemma_1145	high	VRB dienen (served, past participle); all contexts are "hetten sie gedienet dem kunige", "gedienet vmb worumbe" — service perfect; lemma_1996=gedienen is non-canonical compound variant
richte	lemma_4913	high	VRB rihten (directed/erected, past 3sg); all contexts are "richte den vf", "richte czwisschen vns" — raising upright or judging; lemma_4912=rihte (NOM) and lemma_4875=rîchen are different
ruche	lemma_31613	high	NOM rouch (smoke/pleasant odor); all contexts are "einem suzen ruche", "czu einem ruche der susicheit" — fragrant offering smell (Leviticus); lemma_5021=ruochen (VRB to care) is different
arbeit	lemma_269	high	NOM arbeit (work/labor/toil); all contexts are "Sein arbeit er vorleuset", "an deiner arbeit" — nominal labor; lemma_270=arbeiten (VRB to work) would inflect differently
sat	lemma_5041	high	NOM sât (seed/sowing/crop); all contexts are "macht die sat", "steende sat ouf den", "vellet ouf sat" — agricultural nominal; lemma_5122=sat (ADJ/ADV satisfied) is a different word
stifte	lemma_5771	high	VRB stiften (founded/established, past 3sg); all contexts are "herre stifte das rippe", "er stifte ein stat", "stifte einen alter" — creative/founding act; lemma_18458=stift (NOM stylus) is different
sere	lemma_5351	high	ADV sêre (greatly/sorely/very); all contexts are "gar sere vnd sie", "sere vber hant" — intensifier adverb; lemma_5350=sêr (ADJ painful) is different word class
were	lemma_7505	high	VRB wesen (were/would be, past subjunctive); all contexts are "das er were aldo", "das sie were dein" — conditional past; lemma_7496=wern (VRB to last) and lemma_5961=swer are different
rue	lemma_5034	high	NOM ruowe (rest/peace/tranquility); all contexts are "gegen svnder rue", "noch der rue vnd do", "sach die rue" — nominal rest; lemma_4937=riuwe (NOM grief/repentance) is a different word
war	lemma_7338	high	ADJ wâr (true, in fixed phrase "vor war" = truly/verily); all contexts are "Her vor war", "Uor war sie enmag" — fürwahr idiom; lemma_51509=war (NOM beware), lemma_7325=wâ (where) are different
slecht	lemma_5525	high	VRB slahen (strikes, present 3sg); all contexts are "slecht man mit", "slecht seinen nehesten" — striking/killing; lemma_5532=sleht (ADJ straight/simple) is a different word
mas	lemma_11184	high	NOM mâz (measure/unit); all contexts are "das ander mas gomor", "Eine mas hatten alle" — biblical unit of measure (omer/gomor); lemma_4110=mëʒʒen (VRB to measure) is different
sunder	lemma_5884	high	ADV sunder (but/however/except); all contexts are "nicht gelacht sunder ich bin", "sunder barmherczicheit" — adversative/exceptive; lemma_9550=sündære (NOM sinner) is completely different
ym	lemma_1517	high	PRO er (dative him, Bohemian/dialectal spelling ym=im=ihm); all contexts are "sprachen czu ym", "quame zu ym" — dative pronoun; lemma_10734=ime is non-canonical dative-specific entry
enczuntes	lemma_1511	high	VRB enzünden (burnt/kindled, genitive past participle); all contexts are "gancz enczuntes opfer" — genitive of whole burnt offering; same lemma as enczunten
hout	lemma_2939	high	NOM hût (skin/hide); all contexts are "die hout vnd den", "geczihen die hout", "Die hout vorwar vnd" — sacrificial animal skin (Leviticus 7:8); lemma_2863=hiute (ADV today) and lemma_2947=hütte (NOM tent) are different
czihende	lemma_7861	high	VRB ziehen (drawing/pulling, present participle); unmatched Bohemian; all contexts are "czihende gegen mittemtage" (drawing toward the south) — directional movement participle
czeuch	lemma_7861	high	VRB ziehen (depart/go, imperative or past); unmatched Bohemian; all contexts are "czeuch von mir", "vaters hous czeuch vnd von" — departure command or past movement
ruten	lemma_5033	high	NOM ruote (rod/staff, plural or dative); unmatched; all contexts are "ruten" as plural/oblique of rod; lemma_27304=ruta (VRB) is different; same base lemma as rute
wilden	lemma_7615	high	ADJ wilde (wild, oblique forms); unmatched; all contexts are "wilden tieren/creaturen" — adjectival wild/untamed; lemma_11955=Bluome der Wilde (NAM) and lemma_7616=Wilde Ballen (NAM) are clearly wrong proper names
ieriges	lemma_27278	high	ADJ jæric (year-old, genitive); unmatched Bohemian; all contexts are "ein drei ieriges lamp" etc. — age qualifier for sacrificial animals; same lemma as ierige
geperunge	lemma_44214	high	NOM geberunge (birth/genealogy/generation record); unmatched; all contexts are "sint die geperunge", "in diser geperunge" — genealogical record (as in Genesis genealogies); related to gebern
leuchter	lemma_27678	high	NOM liuhtære (lampstand/menorah); unmatched; all contexts are "eynen gehemerten leuchter von reinem", "ouf den leuchter" — tabernacle lampstand (Exodus 25); canonical term for the menorah
eingange	lemma_3034	high	NOM înganc (entrance, dative); unmatched Bohemian; all contexts are "in dem eingange des geczeldis" — entrance of the tabernacle/tent; standard Leviticus/Exodus term
barmherczicheit	lemma_36009	high	NOM barmherzecheit (mercy/lovingkindness); unmatched Bohemian spelling; all contexts are "dein barmherczicheit", "Die barmherczicheit die tu" — divine mercy; core biblical term
busovnen	lemma_961	high	NOM busîne (trumpet/ram's horn); unmatched Bohemian; all contexts are "schal der busovnen" (sound of the trumpet) — Sinai revelation trumpet sound (Exodus 19); biblical liturgical instrument
friedsamen	lemma_15793	high	ADJ vridesam (peaceful/of peace); unmatched; all contexts are "die friedsamen opfertir" (peace offering animals), "friedsamen opfer" — Levitical peace offering (šĕlāmîm); lemma for frîdesam
