form	resolved_lemma	confidence	note
as	lemma_1764	high	VRB ëʒʒen (ate, past 3sg); all contexts "frucht vnd as vnd gab", "Und er as" — eating past; lemma_1=a (ART) and lemma_17=alsô are false positives
stet	lemma_5710	high	VRB stân (stands, present 3sg); all contexts "die do stet noch der", "her ouf stet vnd beginnet" — upright/standing; lemma_5713=stæte (ADJ stable) and lemma_5732=stat (NOM city) are different
oster	lemma_4452	high	NOM ôstern (Passover/Easter festival); all contexts "sult ir oster brot", "ir essen oster speise" — Passover food and feast; lemma_4450=ôster (ADJ eastern) is a different word
irre	lemma_3066	high	ADJ irre (astray/confused); all contexts "Uorfluchtig vnd irre wirst du" — predicative adjective; lemma_3067=irren (VRB to err) is different
Las	lemma_3567	high	VRB lâʒen (let, imperative capitalized); all contexts "Las mich das", "Las mich wenne" — capitalized sentence-initial imperative; same lemma as batch07 "las"
dinge	lemma_1164	high	NOM dinc (things, plural); all contexts "wissen aller dinge", "von seinen dingen" — nominal plural; lemma_1165=dingen (VRB to judge) is different
wunder	lemma_7722	high	NOM wunder (wonder/miracle); all contexts "Sulcher groser wunder czil", "groser wunder" — miraculous signs; lemma_7729=wunt (ADJ wounded) is different
oren	lemma_4447	high	NOM ôr (ears, plural); all contexts "Die mein oren ye gehort", "in ir oren" — hearing organ plural; lemma_30381=Ôren (NAM proper) is clearly wrong
erwelet	lemma_1699	high	VRB erweln (chosen/elected, past participle); all contexts "welche her erwelet die werden", "die er erwelet hat" — divine election; lemma_57797=erwelter is non-canonical variant
eide	lemma_1355	high	NOM eit (oath/oaths, plural or dative); all contexts "an dem eide nvr alleine", "den eide" — oath-taking; lemma_50416=eide is non-canonical duplicate
silberein	lemma_75669	high	ADJ silbern (silver/of silver); unmatched Bohemian form; all contexts "ir houbt silberein durch graben" — material adjective; same lemma as batch09 "silbereine"
heissen	lemma_18885	high	VRB heiʒen (to be called/name, infinitive); unmatched; all contexts "namen saltu heissen do von", "sol heissen" — naming/calling; lemma_18885 is the canonical VRB entry
veiern	lemma_7058	high	VRB vîren (to celebrate/keep holy); unmatched Bohemian spelling; all contexts "sult in veiern herlichn", "veiern den tag" — sabbath/festival observance
spicze	lemma_5682	high	NOM spitze (tip/peak/point); unmatched Bohemian spelling; all contexts "in der spicze des pergis" (at the peak of the mountain), "richten die spicze" — topographical and directional
genvmen	lemma_4330	high	VRB nemen (taken, past participle); unmatched Bohemian spelling (gev=gef prefix); all contexts "dem manne genvmen", "hat genvmen" — taking past passive
czorne	lemma_7897	high	NOM zorn (anger/wrath, dative); unmatched Bohemian spelling (cz=z); all contexts "sprach mit czorne", "in seinem czorne" — divine/human wrath dative
dreissik	lemma_1222	high	NUM drîʒec (thirty); unmatched Bohemian spelling; all contexts "siben vnd dreissik" (thirty-seven), "dreissik tagis" — numerical; lemma_1222=drîʒec
vleisches	lemma_7121	high	NOM vleisch (flesh, genitive); unmatched Bohemian form; all contexts "ende alles vleisches ist komen", "alles vleisches" — genitive of flesh; biblical idiom "end of all flesh"
kvme	lemma_3494	high	ADV kûme (barely/with difficulty); unmatched Bohemian spelling (kv=ku); all contexts "her wider kvme geluclichen zu" — difficulty adverb
ew̆er	lemma_56117	high	PRO ir (your, 2pl possessive/genitive); unmatched Bohemian spelling; all contexts "ew̆er vorchte vnd ew̆er erschrecken" (your fear and trembling), "ew̆er fuze" (your feet) — 2pl possessive; no standalone iuwer entry in lexicon
vmringe	lemma_6433	high	NOM umberinc (surrounding/circuit/perimeter); unmatched Bohemian prefix (vm=um); all contexts "in dem vmringe dicz geczeldis" (in the circuit of this tabernacle), "in dem vmringe irr purge" — Levitical camp perimeter term
