xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_217ra_8_2	das	vnd vnd das halbe geslecht	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_217ra_9_0	gewapent	halbe geslecht gewapent ł czogen	ambiguous	lemma_7328|lemma_9689			
WZB_217ra_9_1	ł	geslecht gewapent ł czogen vor	unmatched				
WZB_217ra_10_4	in	vor als in gepoten hett	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_217ra_10_5	gepoten	als in gepoten hett Und	ambiguous	lemma_1971|lemma_1978	lemma_1971	high	claude
WZB_217ra_10_12	ł	vierczig tousent ł streitender durch	unmatched				
WZB_217ra_11_0	streitender	tousent ł streitender durch ire	unmatched				
WZB_217ra_11_2	ire	streitender durch ire scharen vnd	ambiguous	lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_217ra_11_3	scharen	durch ire scharen vnd spiczen	ambiguous	lemma_5180|lemma_5184	lemma_5180	high	claude
WZB_217ra_12_1	spiczen	scharen vnd spiczen czugen sie	unmatched				
WZB_217ra_12_2	czugen	vnd spiczen czugen sie ouff	unmatched		lemma_7861	high	claude
WZB_217ra_12_3	sie	spiczen czugen sie ouff der	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_217ra_12_4	ouff	czugen sie ouff der ebenunge	unmatched		lemma_6330	high	claude
WZB_217ra_13_0	der	sie ouff der ebenunge vnd	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_217ra_13_4	der	vnd velden der stat An	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_217ra_14_0	stat	velden der stat An dem	ambiguous	lemma_5710|lemma_5732	lemma_5732	high	claude
WZB_217ra_14_3	An	der stat An dem selben	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_217ra_14_4	dem	stat An dem selben tage	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_217ra_15_3	herre	groste vnser herre vor allem	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_217ra_16_4	das	allem so das si in	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_217ra_16_5	si	so das si in vŏrchten	ambiguous	lemma_48479|lemma_5366|lemma_5432|lemma_5445|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_217ra_16_6	in	das si in vŏrchten als	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_217ra_17_0	vŏrchten	si in vŏrchten als sie	unmatched				
WZB_217ra_17_3	sie	vŏrchten als sie vorchten IOSUE	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_217ra_17_4	vorchten	als sie vorchten IOSUE do	ambiguous	lemma_7201|lemma_7298	lemma_7298	high	claude
WZB_217rb_2_1	do	vorchten IOSUE do her dennoch	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_217rb_2_2	her	IOSUE do her dennoch lebte	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825	lemma_1517	high	claude
WZB_217rb_2_6	ł	dennoch lebte ł vnd sprach	unmatched				
WZB_217rb_3_1	sprach	ł vnd sprach zu im	ambiguous	lemma_5692|lemma_5693	lemma_5693	high	claude
WZB_217rb_3_3	im	sprach zu im Gepeut den	ambiguous	lemma_10734|lemma_1517|lemma_1762			
WZB_217rb_3_6	Gepeut	zu im Gepeut den priestern	unmatched				
WZB_217rb_4_3	die	den priestern die do tragen	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_217rb_4_4	do	priestern die do tragen die	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_217rb_5_0	die	do tragen die arche des	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_217rb_5_2	des	die arche des frides vnsers	ambiguous	lemma_1097|lemma_1119|lemma_1186			
WZB_217rb_6_0	herren	frides vnsers herren das sie	ambiguous	lemma_2684|lemma_42447	lemma_2684	high	claude
WZB_217rb_6_2	das	vnsers herren das sie ouf	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_217rb_6_3	sie	herren das sie ouf steigen	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_217rb_6_5	steigen	sie ouf steigen ous dem	unmatched		lemma_5763	high	claude
WZB_217rb_7_1	dem	steigen ous dem Der gepot	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_217rb_7_4	Der	ous dem Der gepot in	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_217rb_7_5	gepot	dem Der gepot in sprechende	ambiguous	lemma_1971|lemma_1978			
WZB_217rb_8_0	in	Der gepot in sprechende Steiget	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_217rb_9_0	dem	Steiget ous dem Und do	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_217rb_9_4	do	dem Und do si ouf	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_217rb_9_5	si	Und do si ouf waren	ambiguous	lemma_48479|lemma_5366|lemma_5432|lemma_5445|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_217rb_10_0	waren	si ouf waren gestigen ous	ambiguous	lemma_7338|lemma_7505	lemma_7505	high	claude
WZB_217rb_10_3	dem	gestigen ous dem tragende die	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_217rb_10_5	die	dem tragende die arche des	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_217rb_10_7	des	die arche des frides vnsers	ambiguous	lemma_1097|lemma_1119|lemma_1186			
