xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_57ra_2_1	჻	Jeremia ppherr ჻ EXO sullet	unmatched				
WZB_57ra_1_0_1	EXO	ppherr ჻ EXO sullet tvn	unmatched				
WZB_57ra_2_4	Her	sullet tvn Her wirt reden	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825			
WZB_57ra_2_5	wirt	tvn Her wirt reden vor	ambiguous	lemma_7489|lemma_7652			
WZB_57ra_3_2	dem	dich zu dem volke vnd	ambiguous	lemma_1097|lemma_1119			
WZB_57ra_3_6	wirt	volke vnd wirt ł dein	ambiguous	lemma_7489|lemma_7652			
WZB_57ra_3_7	ł	vnd wirt ł dein mvnt	unmatched				
WZB_57ra_4_4	aber	dein mvnt aber du wirdest	ambiguous	lemma_18792|lemma_35			
WZB_57ra_4_5	du	mvnt aber du wirdest im	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242			
WZB_57ra_4_7	im	du wirdest im vorsein in	ambiguous	lemma_10734|lemma_1517|lemma_1762			
WZB_57ra_5_0	vorsein	wirdest im vorsein in den	unmatched				
WZB_57ra_5_1	in	im vorsein in den dingen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_57ra_5_3	dingen	in den dingen die got	ambiguous	lemma_1164|lemma_1165			
WZB_57ra_5_6	die	den dingen die got an	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_57ra_6_0	an	die got an gehŏrn Und	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570			
WZB_57ra_6_1	gehŏrn	got an gehŏrn Und dise	unmatched				
WZB_57ra_6_6	rute	Und dise rute nim in	unmatched				
WZB_57ra_7_0	in	rute nim in deine hant	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_57ra_7_2	hant	in deine hant in der	ambiguous	lemma_2598|lemma_2640			
WZB_57ra_7_5	in	deine hant in der du	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_57ra_7_6	der	hant in der du czeichn	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_57ra_7_7	du	in der du czeichn tvn	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242			
WZB_57ra_7_8	czeichn	der du czeichn tvn wirst	unmatched				
WZB_57ra_8_1	wirst	czeichn tvn wirst gienk hyn	ambiguous	lemma_7489|lemma_7650			
WZB_57ra_9_2	wider	vnd karte wider zu seinem	ambiguous	lemma_12326|lemma_7557			
WZB_57ra_10_2	sprach	sweher vnd sprach czu ým	ambiguous	lemma_5692|lemma_5693			
WZB_57ra_11_1	wil	ým Ich wil geen vnd	ambiguous	lemma_7473|lemma_7529|lemma_7620			
WZB_57ra_11_5	wil	geen vnd wil wider keren	ambiguous	lemma_7473|lemma_7529|lemma_7620			
WZB_57ra_11_6	wider	vnd wil wider keren zu	ambiguous	lemma_12326|lemma_7557			
WZB_57ra_12_1	meinen	keren zu meinen brudern gegen	ambiguous	lemma_3001|lemma_4051			
WZB_57ra_12_3	gegen	meinen brudern gegen so das	ambiguous	lemma_11822|lemma_2007			
WZB_57ra_13_3	das	gegen so das ich sehe	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_57ra_13_7	ob	ich sehe ob sie noch	ambiguous	lemma_4457|lemma_67820|lemma_9329			
WZB_57ra_13_8	sie	sehe ob sie noch leben	ambiguous	lemma_5432|lemma_5454|lemma_56116			
WZB_57ra_14_0	noch	ob sie noch leben Czu	ambiguous	lemma_14402|lemma_4281|lemma_4415			
WZB_57ra_14_1	leben	sie noch leben Czu dem	ambiguous	lemma_3659|lemma_3726			
WZB_57ra_14_5	dem	leben Czu dem sprach Gee	ambiguous	lemma_1097|lemma_1119			
WZB_57ra_14_6	sprach	Czu dem sprach Gee mit	ambiguous	lemma_5692|lemma_5693			
WZB_57ra_14_11	friede	Gee mit friede Nu sprach	unmatched				
WZB_57ra_14_15	sprach	friede Nu sprach dorumbe vnser	ambiguous	lemma_5692|lemma_5693			
WZB_57ra_15_0	dorumbe	Nu sprach dorumbe vnser herre	unmatched				
WZB_57ra_15_2	herre	dorumbe vnser herre czu in	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_57ra_15_4	in	herre czu in dem lande	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_57ra_15_5	dem	czu in dem lande Gee	ambiguous	lemma_1097|lemma_1119			
WZB_57ra_16_2	wider	vnd kere wider gegen wenne	ambiguous	lemma_12326|lemma_7557			
WZB_57ra_16_3	gegen	kere wider gegen wenne tot	ambiguous	lemma_11822|lemma_2007			
WZB_57ra_17_2	sint	wenne tot sint alle die	ambiguous	lemma_5432|lemma_5434|lemma_5496			
WZB_57ra_17_4	die	sint alle die die do	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_57ra_17_7	die	alle die die do suchten	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_57ra_17_8	do	die die do suchten dein	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
