form	resolved_lemma	confidence	note
striten	lemma_5818	high	VRB strîten (to fight/battle, infinitive); all contexts are "striten wider", "vnsern herren striten", "czogen vnd striten" — military fighting; lemma_5815=strît (NOM battle) would appear as NOM
slahe	lemma_5525	high	VRB slahen (to smite/strike, 1sg present or subjunctive); all contexts are "Ich slahe ir nicht", "slahe die muter", "slahe das kalp" — striking/smiting; lemma_5523=slage (NOM blow) is different
schrei	lemma_5310	high	VRB schrîen (cried/called out, past 3sg); all contexts are "schrei zu vnserm", "Do schrei das volk", "von himel schrei" — crying out formula; lemma_5304=schrei (NOM cry) would appear as NOM with article
herr	lemma_2684	high	NOM herre (lord, abbreviated form); all contexts are "vnser herr sprach", "as vnser herr het geheissen", "vnser herr redte" — same referent as Herre/herre; lemma_2762=her (ADV) is different
diene	lemma_1145	high	VRB dienen (to serve/minister, subjunctive or 1/3sg present); all contexts are "her mir diene", "das mer diene fremden goten", "diene wir in" — service formula; lemma_8042=diune is non-canonical variant
gebar	lemma_1964	high	VRB gebern (gave birth, past 3sg); all contexts are "enpfieng vnd gebar", "sie gebar seinen bruder", "gebar einen svn" — Gen genealogy birth formula; same lemma as resolved geperte (past 3sg oblique); lemma_542=bern is different
ligen	lemma_3770	high	VRB ligen (to lie/recline, infinitive or plural); all contexts are "sihest ligen vnder der", "werden ligen ewer toten", "die do ligen" — recumbent state; lemma_3758=liegen (VRB to lie/deceive) is a different word
leibe	lemma_3738	high	NOM lîp (body/womb, dative); all contexts are "aus deinem leibe", "in irm leibe", "in deinem leibe" — body/womb of patriarchs/matriarchs; lemma_27456=leibe is non-canonical variant
weist	lemma_7672	high	VRB wiʒʒen (know, 2sg present); all contexts are "Du weist wol meinen", "als du weist", "du icht weist" — 2sg epistemic formula; lemma_12204=weist is non-canonical principal-part form
genade	lemma_2110	high	NOM genâde (grace/mercy, accusative); all contexts are "vant genade vor vnserm", "ich genade funden habe", "genade vinde" — finding-grace formula (Gen 18 / Exod); lemma_2111=genâden (VRB to show grace) would appear as VRB
bitet	lemma_722	high	VRB biten (to pray/beg, 3sg or 2pl present); all contexts are "bitet vor mich", "bitet vor sie", "ir bitet noch gegebin" — intercessory prayer formula; same lemma as resolved bite/biten; lemma_687=bîten (VRB to wait) is different
vellet	lemma_6741	high	VRB vallen (falls/falls upon, present 3sg); all contexts are "vellet ein ochs", "keinerlei vellet wirt gevnreinet", "vellet ouf sat" — Levitical impurity cases; umlaut form of vallen 3sg; lemma_6792=vellen (VRB to fell/slay) is causative, different
schaden	lemma_5148	high	NOM schade (harm/damage, accusative); all contexts are "Allen deinen schaden", "den schaden wider keren", "den schaden hat getan" — damage/liability nominal; lemma_5149=schaden (VRB to harm) would appear without article
