xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_183vb_32_0	die	fride vnd die barmherczicheit die	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_183vb_32_1	barmherczicheit	vnd die barmherczicheit die her	unmatched				
WZB_183vb_32_3	die	die barmherczicheit die her hat	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_183vb_32_4	her	barmherczicheit die her hat gesworn	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825			
WZB_183vb_33_3	vetern	gesworn deinen vetern vnd wirt	ambiguous	lemma_6771|lemma_7046			
WZB_183vb_34_1	wirt	vetern vnd wirt dich liep	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_183vb_35_0	meren	habn vnd meren Und wirt	ambiguous	lemma_3922|lemma_4034|lemma_4035			
WZB_183vb_35_3	wirt	meren Und wirt gesegen der	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_183vb_35_5	der	wirt gesegen der frucht deines	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_183vb_36_2	bouches	frucht deines bouches vnd der	unmatched				
WZB_183vb_37_0	der	bouches vnd der frucht deiner	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_183vb_37_3	erden	frucht deiner erden vnd DEUTRO	ambiguous	lemma_1545|lemma_57649			
WZB_184ra_1_0	DEUTRO	erden vnd DEUTRO getreide vnd	unmatched				
WZB_184ra_3_1	ŏle	weine vnd ŏle den rindern	unmatched				
WZB_184ra_4_0	hert	rindern deiner hert vnd schafen	ambiguous	lemma_10833|lemma_13697|lemma_2787			
WZB_184ra_4_4	der	schafen ouf der erden vmme	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_184ra_4_5	erden	ouf der erden vmme die	ambiguous	lemma_1545|lemma_57649			
WZB_184ra_5_1	die	erden vmme die her gesworn	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_184ra_5_2	her	vmme die her gesworn hat	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825			
WZB_184ra_6_1	vetern	hat deinen vetern so da	ambiguous	lemma_6771|lemma_7046			
WZB_184ra_6_5	her	so da her die gebe	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825			
WZB_184ra_6_6	die	da her die gebe dir	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_184ra_7_0	gebe	her die gebe dir Gesegent	ambiguous	lemma_13306|lemma_1961			
WZB_184ra_7_1	dir	die gebe dir Gesegent wirdestu	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_184ra_8_2	volken	vnder allen volken nicht wirt	unmatched				
WZB_184ra_8_6	wirt	volken nicht wirt bei dir	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_184ra_9_1	dir	wirt bei dir vnfruchtbers ous	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_184ra_9_2	vnfruchtbers	bei dir vnfruchtbers ous beiden	unmatched				
WZB_184ra_10_0	gegaten	ous beiden gegaten also wol	unmatched				
WZB_184ra_10_4	in	also wol in den leuten	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_184ra_11_3	in	leuten als in den schafen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_184ra_12_0	wirt	schafen Ouf wirt heben der	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_184ra_12_2	der	wirt heben der herre von	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_184ra_12_3	herre	heben der herre von dir	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_184ra_12_5	dir	herre von dir allen wetagen	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_184ra_13_4	die	wetagen vnd die gar bŏse	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_184ra_14_0	bŏse	die gar bŏse seuchen der	unmatched				
WZB_184ra_14_2	der	bŏse seuchen der die du	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_184ra_14_4	die	seuchen der die du kennest	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_184ra_15_0	du	der die du kennest wirt	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242	lemma_1242	high	claude
WZB_184ra_15_3	wirt	du kennest wirt her nicht	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_184ra_15_4	her	kennest wirt her nicht einfŭren	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825			
WZB_184ra_15_6	einfŭren	her nicht einfŭren dir svnder	unmatched				
WZB_184ra_16_0	dir	nicht einfŭren dir svnder alle	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_184ra_17_3	Vressen	deinen veinden Vressen wirstu als	unmatched				
WZB_184ra_18_2	das	als volk das dein herre	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_184ra_18_4	herre	das dein herre got dir	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_184ra_18_6	dir	herre got dir wirt geben	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_184ra_19_0	wirt	got dir wirt geben Nicht	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_184ra_19_6	in	Nicht sol in vortragen dein	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
