form	resolved_lemma	confidence	note
ŏl	lemma_4455	high	NOM öl (oil); all contexts are "gos ŏl dor ouf" (poured oil thereon) — sacred anointing oil; NFD-encoded Bohemian ŏ vowel
tŏchter	lemma_6135	high	NOM tohter (daughters, plural); all contexts are "svne vnd tŏchter" (sons and daughters) — Gen genealogy; NFD-encoded form; lemma for MHG tochter/tohter
hŏe	lemma_2881	high	NOM hœhe (height/altitude); all contexts are "ir hŏe rurte an" (their height touched) — architectural/geographic height; NFD-encoded form
few̆er	lemma_7108	high	NOM viur (fire); all contexts are "in dem few̆er" (in the fire) — burning/fire narrative; NFD-encoded Bohemian ew̆=ü/ö vowel; lemma_7108=viur canonical
ŏle	lemma_4455	high	NOM öl (oil, oblique form); all contexts are "gos ŏle dorouf" (poured oil thereon) — same as ŏl; NFD-encoded variant ending
gŏten	lemma_2465	high	NOM got (gods, dative plural); all contexts are "egipt. gŏten" (Egyptian gods), plural false idols; NFD-encoded Bohemian ŏ; lemma_2465=got NOM god
gŏte	lemma_2465	high	NOM got (god/gods, dative singular); all contexts are "meine gŏte" (my gods, Rachel stealing household gods), "gŏtẽ" — same lemma as got; NFD-encoded
tŏten	lemma_6133	high	VRB tœten (to kill, infinitive); all contexts are "bruder tŏten vnd vorheln" (kill our brother and hide it) — fratricide/murder VRB; NFD-encoded; same lemma as tote resolved earlier
getŏtet	lemma_6133	high	VRB tœten (killed, past participle); all contexts are "sie heten getŏtet" (they had killed) — past completion; NFD-encoded; same lemma tœten
hŏren	lemma_2885	high	VRB hœren (to hear, infinitive); all contexts are "ich dich hŏren" (I hear you) — auditory perception VRB; NFD-encoded; same lemma as resolved horen (batch10)
schŏne	lemma_5280	high	ADJ schœne (beautiful/fair); all contexts are "czu sehen schŏne was" (to see that it was beautiful) — creation beauty formula; NFD-encoded Bohemian ŏ
hŏret	lemma_2885	high	VRB hœren (hear, 2pl present or imperative); all contexts are "hŏret mich" (hear me) — divine/prophetic call; NFD-encoded; same lemma hœren
wŏlle	lemma_7473	high	VRB wellen (want/intend, 1pl present); all contexts are "wŏlle wir bleiben" (we want to stay) — modal intention; NFD-encoded; same lemma as resolved wollen (batch11)
bŏze	lemma_788	high	ADJ bœse (evil/wicked, plural or predicate); all contexts are "waren bŏze vnd groze" (they were evil and great) — moral judgment; NFD-encoded
ŏpfil	lemma_261	high	NOM apfel (apple/fruit, plural); all contexts are "ŏpfil was ouf" (apples were above) — fruit of paradise?; NFD-encoded Bohemian ŏ; lemma_261=apfel
menedis	lemma_3909	high	NOM mâne (month, genitive singular); all contexts are "des menedis" (of the month), "czehenden meneden" — temporal Levitical; Bohemian spelling; same lemma as resolved manden (batch10)
pergis	lemma_521	high	NOM berc (mountain, genitive); all contexts are "spicze des pergis" (summit of the mountain), "des pergis" — Sinai/mountain narrative; Bohemian spelling p=b; lemma_521=berc NOM
doum	lemma_28984	high	NOM doum (cubit/ell, architectural measure); all contexts are "funfczig doum elen" (fifty cubits), "dreissick doum elen" — tabernacle measurements; lemma_28984=doum NOM
