xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_54vb_1_0	DUS	gesehen hin DUS vnd her	ambiguous	lemma_21148|lemma_8073			
WZB_54vb_2_1	her	DUS vnd her vnd sach	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825	lemma_1517	high	claude
WZB_54vb_2_3	sach	her vnd sach nymanden do	ambiguous	lemma_5046|lemma_5062|lemma_5366	lemma_5366	high	claude
WZB_54vb_2_4	nymanden	vnd sach nymanden do bei	unmatched				
WZB_54vb_2_5	do	sach nymanden do bei sein	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_54vb_3_1	sein	do bei sein do erslug	ambiguous	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432			
WZB_54vb_3_3	do	bei sein do erslug er	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_54vb_3_5	er	do erslug er den egipten	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_54vb_4_1	vorbarg	egipten vnd vorbarg in in	unmatched				
WZB_54vb_4_2	in	vnd vorbarg in in dem	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_54vb_4_3	in	vorbarg in in dem sande	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_54vb_4_4	dem	in in dem sande Und	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_54vb_4_5	sande	in dem sande Und eines	ambiguous	lemma_18884|lemma_5107|lemma_5396			
WZB_54vb_5_1	eines	sande Und eines andern tages	ambiguous	lemma_1331|lemma_1336	lemma_1331	high	claude
WZB_54vb_6_0	her	tages gienk her ous vnd	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825	lemma_1517	high	claude
WZB_54vb_6_4	sach	ous vnd sach czwen hebreer	ambiguous	lemma_5046|lemma_5062|lemma_5366	lemma_5366	high	claude
WZB_54vb_6_6	hebreer	sach czwen hebreer mit ein	unmatched				
WZB_54vb_7_1	ein	hebreer mit ein ander kriegen	ambiguous	lemma_119|lemma_13|lemma_1331|lemma_2975	lemma_1331	high	claude
WZB_54vb_7_3	kriegen	ein ander kriegen vnd sprach	ambiguous	lemma_3462|lemma_3465			
WZB_54vb_7_6	sprach	kriegen vnd sprach zu dem	ambiguous	lemma_5692|lemma_5693	lemma_5693	high	claude
WZB_54vb_8_1	dem	sprach zu dem der dem	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_54vb_8_4	der	zu dem der dem andern	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_54vb_8_5	dem	dem der dem andern vnrecht	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_54vb_9_4	slechstu	tat Worumbe slechstu deinen nehsten	unmatched				
WZB_54vb_10_4	der	nehsten Und der antworte im	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_54vb_10_6	im	der antworte im Wer hat	ambiguous	lemma_10734|lemma_1517|lemma_1762			
WZB_54vb_11_0	Wer	antworte im Wer hat dich	ambiguous	lemma_5918|lemma_5961|lemma_7482|lemma_7496|lemma_7505|lemma_7643	lemma_7482	high	claude
WZB_54vb_11_4	einen	dich gesaczt einen fursten vnd	ambiguous	lemma_1331|lemma_31353	lemma_1331	high	claude
WZB_54vb_12_2	einen	fursten vnd einen richter vber	ambiguous	lemma_1331|lemma_31353	lemma_1331	high	claude
WZB_54vb_12_3	richter	vnd einen richter vber vns	ambiguous	lemma_26221|lemma_4911	lemma_4911	high	claude
WZB_54vb_12_4	vber	einen richter vber vns ̃	ambiguous	lemma_6359|lemma_6698	lemma_6359	high	claude
WZB_54vb_12_6	̃	vber vns ̃ Nu wiltu	unmatched				
WZB_54vb_13_3	tŏten	wiltu mich tŏten alls du	unmatched		lemma_6133	high	claude
WZB_54vb_13_6	alls	mich tŏten alls du gestern	ambiguous	lemma_106|lemma_148	lemma_106	high	claude
WZB_54vb_13_7	du	tŏten alls du gestern hast	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242	lemma_1242	high	claude
WZB_54vb_14_1	hast	du gestern hast getŏtet den	ambiguous	lemma_2598|lemma_2681	lemma_2598	high	claude
WZB_54vb_14_2	getŏtet	gestern hast getŏtet den egipten	unmatched		lemma_6133	high	claude
WZB_54vb_15_3	vorchte	egipten Nu vorchte sich v	ambiguous	lemma_7201|lemma_7298			
WZB_54vb_15_4	sich	Nu vorchte sich v vnd	ambiguous	lemma_42100|lemma_5366|lemma_5445|lemma_5455	lemma_5445	high	claude
WZB_54vb_16_1	sprach	v vnd sprach Ey wie	ambiguous	lemma_5692|lemma_5693	lemma_5693	high	claude
WZB_54vb_16_4	Ey	vnd sprach Ey wie ist	ambiguous	lemma_104|lemma_1324			
WZB_54vb_16_5	wie	sprach Ey wie ist das	ambiguous	lemma_11087|lemma_7608	lemma_7608	high	claude
WZB_54vb_16_7	das	wie ist das wort nv	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_54vb_18_2	rede	erhorte dise rede vnd suchte	ambiguous	lemma_4826|lemma_4830	lemma_4826	high	claude
WZB_54vb_18_5	suchte	rede vnd suchte ł zu	ambiguous	lemma_5871|lemma_5903	lemma_5903	high	claude
WZB_54vb_18_6	ł	vnd suchte ł zu vorterben	unmatched				
WZB_54vb_19_4	Der	zu vorterben Der vloh von	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_54vb_20_5	wonte	angesicht vnd wonte in der	ambiguous	lemma_7355|lemma_7695	lemma_7695	high	claude
WZB_54vb_21_0	in	vnd wonte in der erden	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472			
WZB_54vb_21_1	der	wonte in der erden vnd	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
