form	resolved_lemma	confidence	note
lest	lemma_3567	high	VRB lâʒen (lets/allows, 3sg present); all contexts are "lest intrewen schowen" (lets itself be seen), "lest sein vich" (lets his livestock), "lest die aldo" — permissive 3sg; same lemma as resolved las/Las/lies; lemma_3643=laz (lazy) and lemma_3720=lesen are different
Sage	lemma_5061	high	VRB sagen (say/tell, imperative); all contexts are "Sage mir ist", "Sage wie", "Sage aller samenunge" — imperative reporting formula; same lemma as resolved sage (lowercase); lemma_51510=sage (NOM legend) does not fit imperative usage
neigen	lemma_4326	high	VRB neigen (to bow/incline, infinitive); all contexts are "vns neigen in die" (bow toward), "neigen weder zu" (bow toward), "neigen soltu nicht" — prohibition against idolatrous bowing; lemma_4349=nîgen is a dialectal variant of the same bowing VRB
gepar	lemma_1964	high	VRB gebern (bore/gave birth, past 3sg); all contexts are "enpfieng vnd gepar" (conceived and bore), "gepar die grŏsere", "er gepar d dreihundert" — Gen genealogy formula; Bohemian spelling; same lemma as geperte/gebar; lemma_1953=gebâren (to behave) is different
geczelten	lemma_2361	high	NOM gezelt (tent, dative plural); all contexts are "wonten in geczelten" (dwelt in tents), "in den geczelten sein", "in ewern geczelten" — patriarchal tent-dwelling; same lemma as geczelde/geczeldis; lemma_7795=zëlten (VRB to camp) is different
krieg	lemma_3462	high	NOM kriec (war/strife); all contexts are "krieg vnder den" (strife among), "sei krieg czwischen mir" (strife between us), "durch den krieg" — conflict nominal; lemma_3465=kriegen (VRB to fight) would appear differently
Steig	lemma_5763	high	VRB stîgen (climb/ascend, imperative); all contexts are "Steig hin abe" (climb down), "Steig ouf zu" (climb up to), "Steig ouf disen" — divine command to descend/ascend; same lemma as resolved steig (lowercase) and steigen; lemma_24062=steic (NOM path) is different
Lege	lemma_3674	high	VRB legen (lay/place, imperative); all contexts are "Lege deine hant" (lay your hand), "Lege das her" (lay it), "Lege deyn rechte" — imperative placing; same lemma as resolved lege/legen (lowercase); lemma_3770=ligen (VRB to lie) is different
gelegen	lemma_3770	high	VRB ligen (has lain with, past participle); all contexts are "her hat gelegen" (he has lain with), "hast mit gelegen" (you have lain with), "die do gelegen ist" — Levitical sexual contact formula; lemma_2055=gelegen (adjective convenient?) and lemma_3674=legen are different
Morgen	lemma_4201	high	NOM/ADV morgen (tomorrow/morning); all contexts are "antworte Morgen" (replied: Tomorrow), "Morgen wirt das", "Morgen ist die" — temporal adverb at sentence position; same lemma as resolved morgen (lowercase); lemma_1778=Feimorgan (NAM) is a false match
gelust	lemma_2085	high	NOM geluste (craving/desire, genitive); all contexts are "grebern der gelust" (graves of craving, Num 11), "weiplicher gelust" (feminine desire), "samen der gelust" — biblical craving narrative; lemma_2084=gelüsten (VRB to desire) would appear differently
alders	lemma_156	high	NOM alter (old age, genitive); all contexts are "wol volvarnes alders" (of perfected old age), "ires alders das funfczigste" (of their age), "vorgangnes alders" — nominal old age; Bohemian spelling variant; same word as resolved alters→lemma_156; candidate lemmata are false matches
