form	resolved_lemma	confidence	note
Herre	lemma_2684	high	NOM herre (lord, vocative); all contexts are vocative/address "Herre got", "sprach Herre" — divine invocation; same lemma as resolved hern/herre; lemma_2761=her (ADV army) is different
biten	lemma_722	high	VRB biten (to pray/beg, infinitive); all contexts are "wirt biten vor dich", "Wir biten dich herre", "biten vor in" — petitionary infinitive; same lemma as resolved bite (1sg pres); lemma_687=bîten (VRB to wait/linger) is different
huten	lemma_2942	high	VRB hüeten (to guard/protect, infinitive); all contexts are "czu huten", "be huten vnd halten", "sich huten vor" — protective/guarding VRB; lemma_2939=hût (NOM skin) is completely different
ouge	lemma_4524	high	NOM ouge (eye); all contexts are "ouge vmb ouge" (lex talionis Exod 21:24), "das ouge deines knechtis", "brechen ouge" — body part nominal; lemma_50081=Ouge (proper noun) is different
geschrei	lemma_2207	high	NOM geschreie (outcry/cry/clamor); all contexts are "Das geschrei", "ir geschrei czoch ouf", "gros geschrei wirt" — nominal outcry; lemma_2208=geschrîen (VRB to cry) would appear differently
trucken	lemma_6255	high	ADJ trucken (dry/arid); all contexts are "die trucken erde", "das trucken mer", "in ein trucken" — the dry land/sea creation/exodus; lemma_1236=drücken (VRB to press) is a completely different word
trug	lemma_6171	high	VRB tragen (carried, past 3sg); all contexts are "die samen trug", "trug sie in", "trug mit im" — carrying past; same lemma as resolved trugen (3pl); lemma_6201=triegen (VRB to deceive) is different
stoup	lemma_5794	high	NOM stoup (dust); all contexts are "bistu stoup" (you are dust Gen 3:19), "den stoup der erden", "asche vnd stoup" — mortality nominal; lemma_5767=stieben (VRB to scatter) is different
pilde	lemma_704	high	NOM bilde (image/likeness); all contexts are "noch seinem pilde" (in his image), "kein pilde saltu dir" (no image shalt thou), "mannes pilde" — creation/prohibition image; lemma_47319=Pilde (proper noun) is different
dan	lemma_1073	high	ADV danne (then/hence/away); all contexts are "hin dan gekart" (turned away), "Komet hin dan" (come hence), "Kume dan" (come then) — directional/temporal adverb; lemma_8019=dâ'n is non-canonical
sage	lemma_5061	high	VRB sagen (to say/tell, 1sg present or imperative); all contexts are "ich dir sage", "Dorumbe sage Ich", "Das sage dem" — reporting speech formula; lemma_51510=sage (NOM legend) does not fit 1sg or imperative speech patterns
vinde	lemma_7081	high	VRB vinden (to find, 1sg subjunctive/present); all contexts are "das ich vinde in funfczig", "ich gnade vinde", "Des kindes vinde ich nicht" — Abrahamic intercession and seeking formulae; lemma_7048=vîant (NOM enemy) is a false variant match
