xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_152rb_16_4	house	in deinem house der isset	unmatched		lemma_2933	high	claude
WZB_152rb_17_1	der	deinem house der isset von	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_152rb_17_4	in	isset von in Alles das	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_152rb_17_8	das	in Alles das mark des	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_152rb_18_0	mark	Alles das mark des oles	ambiguous	lemma_38867|lemma_3990			
WZB_152rb_18_1	des	das mark des oles vnd	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_152rb_19_1	des	weines vnd des getreides Welcherlei	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_152rb_19_2	getreides	vnd des getreides Welcherlei sie	unmatched		lemma_2276	high	claude
WZB_152rb_20_0	sie	getreides Welcherlei sie opfern der	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_152rb_20_2	der	sie opfern der erstlinge vnserm	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_152rb_20_3	erstlinge	opfern der erstlinge vnserm herren	unmatched				
WZB_152rb_21_1	herren	erstlinge vnserm herren die hab	ambiguous	lemma_2684|lemma_42447	lemma_2684	high	claude
WZB_152rb_21_3	die	vnserm herren die hab ich	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_152rb_21_4	hab	herren die hab ich dir	ambiguous	lemma_2593|lemma_2598	lemma_2598	high	claude
WZB_152rb_22_0	dir	hab ich dir gegeben Alles	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_152rb_22_5	getreides	gegeben Alles getreides anevenge die	unmatched		lemma_2276	high	claude
WZB_152rb_23_0	anevenge	Alles getreides anevenge die do	unmatched				
WZB_152rb_23_2	die	getreides anevenge die do gepirt	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_152rb_23_3	do	anevenge die do gepirt die	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_152rb_23_4	gepirt	die do gepirt die erde	unmatched				
WZB_152rb_24_0	die	do gepirt die erde vnd	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
