xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_216ra_28_5	ein	Wenne ir ein gegeet ein	ambiguous	lemma_119|lemma_13|lemma_1331|lemma_2975	lemma_1331	high	claude
WZB_216ra_28_6	gegeet	ir ein gegeet ein teil	unmatched				
WZB_216ra_28_7	ein	ein gegeet ein teil in	ambiguous	lemma_119|lemma_13|lemma_1331|lemma_2975	lemma_1331	high	claude
WZB_216ra_29_0	teil	gegeet ein teil in das	ambiguous	lemma_6041|lemma_6042	lemma_6041	high	claude
WZB_216ra_29_1	in	ein teil in das wasser	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_216ra_29_2	das	teil in das wasser des	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_216ra_29_4	des	das wasser des so steet	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_216ra_29_8	steet	des so steet dorinne Und	unmatched				
WZB_216ra_29_13	sprach	dorinne Und sprach zu Tretet	ambiguous	lemma_5692|lemma_5693	lemma_5693	high	claude
WZB_216ra_29_17	Tretet	sprach zu Tretet her zu	unmatched				
WZB_216ra_29_18	her	zu Tretet her zu vnd	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825	lemma_1517	high	claude
WZB_216ra_30_0	die	vnd horet die wort ewers	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_216ra_30_3	herren	wort ewers herren gotis Und	ambiguous	lemma_2684|lemma_42447	lemma_2684	high	claude
WZB_216ra_31_3	aber	gotis Und aber sprach her	ambiguous	lemma_18792|lemma_35	lemma_35	high	claude
WZB_216ra_31_4	sprach	Und aber sprach her An	ambiguous	lemma_5692|lemma_5693	lemma_5693	high	claude
WZB_216ra_31_5	her	aber sprach her An dem	ambiguous	lemma_1517|lemma_2682|lemma_2684|lemma_2761|lemma_2762|lemma_2825	lemma_1517	high	claude
WZB_216ra_31_8	An	sprach her An dem werdet	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_216ra_32_0	dem	her An dem werdet ir	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_216ra_32_2	ir	dem werdet ir wissen das	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_216ra_32_3	wissen	werdet ir wissen das der	ambiguous	lemma_7549|lemma_7551|lemma_7672	lemma_7672	high	claude
WZB_216ra_32_5	das	ir wissen das der herre	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_216ra_32_6	der	wissen das der herre der	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_216ra_33_0	herre	das der herre der lebendige	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_216ra_33_2	der	der herre der lebendige got	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_216ra_33_8	ł	got ist ł IOSUE in	unmatched				
WZB_216rb_2_0	in	ł IOSUE in ewerr mitte	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_216rb_2_4	wirt	mitte vnd wirt czu strewen	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_216rb_3_1	in	czu strewen in ewerr angesicht	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_216rb_6_7	die	den Secht die arche des	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_216rb_6_9	des	die arche des frides des	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_216rb_7_0	des	des frides des herren aller	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_216rb_7_1	herren	frides des herren aller erden	ambiguous	lemma_2684|lemma_42447	lemma_2684	high	claude
WZB_216rb_7_3	erden	herren aller erden wirt euch	ambiguous	lemma_1545|lemma_57649	lemma_1545	high	claude
