xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_65ra_6_0	ir	heusern dorinne ir werdet sein	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_65ra_6_2	sein	ir werdet sein Und ich	ambiguous	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	lemma_1517	medium	claude
WZB_65ra_6_7	werde	Und ich werde sehen das	ambiguous	lemma_7489|lemma_7500|lemma_7644	lemma_7489	medium	claude
WZB_65ra_7_0	das	werde sehen das blut vnd	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_65ra_7_1	blut	sehen das blut vnd werde	ambiguous	lemma_770|lemma_775|lemma_776	lemma_775	high	claude
WZB_65ra_7_4	werde	blut vnd werde czihen fur	ambiguous	lemma_7489|lemma_7500|lemma_7644	lemma_7489	medium	claude
WZB_65ra_8_0	fur	werde czihen fur euch noch	ambiguous	lemma_6761|lemma_7108|lemma_7194|lemma_7283|lemma_7292			
WZB_65ra_8_4	noch	fur euch noch in euch	ambiguous	lemma_14402|lemma_4281|lemma_4415	lemma_4415	high	claude
WZB_65ra_8_5	in	euch noch in euch wirt	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_65ra_8_7	wirt	in euch wirt kein pflage	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_65ra_8_8	kein	euch wirt kein pflage nicht	ambiguous	lemma_2007|lemma_3271|lemma_3273	lemma_3273	high	claude
WZB_65ra_9_3	strew̆ende	nicht zu strew̆ende wenne ich	unmatched				
WZB_65ra_10_1	slahe	wenne ich slahe Und den	ambiguous	lemma_5523|lemma_5525	lemma_5525	high	claude
WZB_65ra_11_2	tag	Und den tag sult ir	ambiguous	lemma_1061|lemma_5994	lemma_5994	high	claude
WZB_65ra_11_4	ir	tag sult ir haben zu	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_65ra_11_5	haben	sult ir haben zu einem	ambiguous	lemma_2593|lemma_2598|lemma_2688	lemma_2598	high	claude
WZB_65ra_13_0	in	vnd sult in veiern herlichn	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_65ra_13_1	veiern	sult in veiern herlichn in	unmatched		lemma_7058	high	claude
WZB_65ra_13_3	in	veiern herlichn in ew̆ern geslechten	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_65ra_13_4	ew̆ern	herlichn in ew̆ern geslechten ewiges	unmatched				
WZB_65ra_13_5	geslechten	in ew̆ern geslechten ewiges dienstes	unmatched		lemma_2233	high	claude
WZB_65ra_15_2	ir	tage sult ir essen vngesaurtes	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_65ra_15_3	essen	sult ir essen vngesaurtes brot	ambiguous	lemma_1726|lemma_1764	lemma_1764	high	claude
WZB_65ra_15_4	vngesaurtes	ir essen vngesaurtes brot An	unmatched				
WZB_65ra_16_3	An	vngesaurtes brot An dem ersten	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_65ra_16_4	dem	brot An dem ersten tage	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_65ra_16_5	ersten	An dem ersten tage so	ambiguous	lemma_1288|lemma_1655	lemma_1288	high	claude
WZB_65ra_17_2	sowerteig	sol nicht sowerteig sein in	unmatched				
WZB_65ra_17_3	sein	nicht sowerteig sein in ewern	ambiguous	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	lemma_1517	medium	claude
WZB_65ra_17_4	in	sowerteig sein in ewern heusern	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_65ra_18_0	heusern	in ewern heusern Welcher gesourteigtes	unmatched		lemma_2933	high	claude
WZB_65ra_18_4	gesourteigtes	heusern Welcher gesourteigtes isset des	unmatched				
WZB_65ra_19_3	des	gesourteigtes isset des sele sol	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_65ra_20_4	dem	ous Uon dem ersten tage	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_65ra_20_5	ersten	Uon dem ersten tage vncz	ambiguous	lemma_1288|lemma_1655	lemma_1288	high	claude
WZB_65ra_21_3	bis	tage vncz bis zu dem	ambiguous	lemma_10651|lemma_5432|lemma_9197	lemma_10651	high	claude
WZB_65ra_21_5	dem	bis zu dem sibenden Der	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_65ra_22_0	Der	dem sibenden Der erste tag	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_65ra_22_2	tag	Der erste tag wirt heilig	ambiguous	lemma_1061|lemma_5994	lemma_5994	high	claude
WZB_65ra_22_3	wirt	erste tag wirt heilig vnd	ambiguous	lemma_7489|lemma_7652	lemma_7489	high	claude
WZB_65ra_23_3	der	lobsam vnd der sibende tag	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_65ra_23_5	tag	der sibende tag der selben	ambiguous	lemma_1061|lemma_5994	lemma_5994	high	claude
WZB_65ra_23_6	der	sibende tag der selben hochczeit	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
